id;product;calories;fat;saturated;trans; monounsaturated; polyunsaturated;cholesterol;total;starch;sugar;added;protein;fiber; salt
04.273;Fiskekarbonader, sild;219;17,3;4,7;0;8,7;4,7;59;2,4;1,4;1;0;13,5;0;0,9
04.275;Fiskepaté, laks;176;12,4;5,2;0,1;7,1;3,9;109;4,3;2,7;1,6;0;11,8;0;1,4
04.274;Fiskepaté, mager fisk;136;6,9;3,7;0,1;1,8;0,5;109;4,3;2,7;1,6;0;14,3;0;1,5
04.276;Fiskepinner, forfritert, stekt i hard margarin;246;14,6;3,3;0;7,3;3,2;35;16,5;14,9;1,7;0;11,2;1;0,7
04.063;Fiskepudding;70;0,6;0,3;0;0,1;0;24;7,4;4,9;2,5;0;8,7;0;1
04.269;Fiskepudding, fløtepudding;101;4,2;2,6;0,1;1;0,1;32;7,2;4,9;2,3;0;8,6;0;1,5
04.086;Gaffelbiter, sild, hermetisk;240;16;6,5;0;0,7;7,2;80;8;0;8;8;16;0;7,1
04.087;Kaviar, av lodderogn;109;5,5;1,1;0;1,4;2,6;300;0;0;0;0;14,9;0;5,4
04.089;Kaviar, av torskerogn;438;39;3;0;23;10;101;13,7;0;13,7;12;8;0;5,5
04.373;Kaviar, polarkaviar;474;43;3;0;25;12;101;13,7;0;13,7;9;8;0;4,3
04.307;Kaviarmix;408;39;3;0;30;14;97;9,2;1;8,2;M;5;0;4,1
04.289;Kryddersild, innlagt, avrent;224;10,6;2;0;5,2;2;15;24,5;0;24,5;22;7,6;0;3,7
04.330;Laksepålegg, 70 % laks, i beger, Stabbur-Laks;215;16,6;2,2;0;8,8;5,4;67;0;0;0;0;16,5;0;0,1
04.375;Laksepålegg, med vårløk og sitron;259;23;2;0;13;6;51;1;0;1;1;12;0;1,3
04.329;Makrellfilet, i tomat, 50 % makrell, i beger;177;11,9;2,3;0;5;4,1;40;6,7;0,7;6;2;9,7;2;1,3
04.328;Makrellfilet, i tomat, 60 % makrell, hermetisk;241;19,4;3,1;0;9;6,4;45;3,9;0,1;3,8;0,9;11,9;2;1
04.097;Makrellfilet, i tomat, 70 % makrell, hermetisk;253;20,5;3,5;0;9,3;6,8;54;3;0,1;2,9;0,7;13,4;2;1
