id;product;omega3; omega6;vitaminA; retinol; betacarotene; vitaminD; vitaminE; thiamine;riboflavin;niacin;vitaminB6;folate;vitamineB12; vitamineC; calcium; iron;sodium;potassium;magnesium; zinc;selenium; copper;phosphorus; iodine
1;Melk og melkeprodukter;;;;;;;;;;;;;;;;;;;;;;;;
1.1;Melk og melkebasert drikke;;;;;;;;;;;;;;;;;;;;;;;;
01.257;Geitost, smørbar, dill, Snøfrisk;0,08;0,4;218;207;135;0;0,6;0,02;0,17;0,2;0,04;14;0,2;0;97;0,1;600;145;12;0,7;6;0,01;105;50
01.260;Geitost, smørbar, kantarell, Snøfrisk;0,08;0,4;218;207;135;0;0,6;0,02;0,17;0,2;0,04;14;0,2;0;97;0,1;520;145;12;0,7;6;0,01;105;58
01.117;Geitost, smørbar, naturell, Snøfrisk;0,1;0,1;109;102;79;0;0,7;0,02;0,13;0,2;0,12;9;0,2;0;85;0;520;135;11;0,1;6;0;105;39
01.258;Geitost, smørbar, rødløk og timian, Snøfrisk;0,08;0,4;218;207;135;0;0,6;0,02;0,17;0,2;0,04;14;0,2;0;97;0,1;640;145;12;0,7;6;0,01;105;60
01.055;Gudbrandsdalsost, brunost;0,11;0,11;254;244;123;0;0,7;0,14;1,06;0,3;0,06;25;1,3;0;460;0;300;1221;71;0,8;10;0,02;510;164
01.185;Gulost, uspesifisert;0,11;0,11;137;125;135;M;0,5;0,09;0,3;0,5;0,03;43;2,4;M;818;0,2;486;76;33;4,6;11;0,04;595;30
01.270;Halloumi, ost;0,09;0,65;192;192;0;0,2;0,5;0,02;0,25;0,1;0,04;2;0,6;0;633;0,2;1680;74;34;3;10;0,03;406;34
01.035;Jarlsberg, gulost;0,11;0,11;257;244;159;0;0,7;0,14;0,32;0,8;0,02;36;2,2;0;770;0,5;440;71;33;4,2;12;0,04;550;32
01.253;Kremost, krydder;0,11;0,11;257;244;159;0;0,7;0,03;0,19;0;0,03;15;0,3;0;96;0,1;400;120;9;0,7;8;0,01;120;26
01.150;Kremost, naturell;0,11;0,11;257;244;159;0;0,7;0,03;0,19;0;0,03;15;0,3;0;96;0,1;400;120;9;0,7;8;0,01;120;26
01.254;Kremost, pepper;0,11;0,11;257;244;159;0;0,7;0,03;0,19;0;0,03;15;0,3;0;96;0,1;400;120;9;0,7;8;0,01;120;26
01.269;Kremost, Philadelphia;0,6;0,63;285;284;19;0,1;0,7;0,03;0,17;0,1;0,04;15;0,2;0;88;0,1;268;71;7;0,7;3;M;95;7
01.212;Kremost, urter;0,11;0,11;257;244;159;0;0,7;0,03;0,19;0;0,03;15;0,3;0;96;0,1;400;120;9;0,7;8;0,01;120;26
01.300;Manchego, ost;0,2;0,03;0;M;M;0,3;0,6;0,04;0,3;M;0,2;21;1,5;0;765;0,6;670;100;36;4;2;M;520;34
01.066;Mozzarella, norsk;0,09;0,09;218;207;135;0;0,6;0,09;0,33;0,4;0,03;45;2,6;0;880;0,2;480;83;35;4,9;11;0,05;640;33
01.037;Normanna, blåmuggost;0,11;0,11;267;253;164;0;0,7;0,06;0,31;1,1;0,12;47;1,5;0;500;0,1;1000;84;21;2,8;10;0,02;360;42
01.039;Norvegia, gulost;0,11;0,11;107;107;0;0;0,5;0,08;0,31;0,4;0,03;42;2,4;0;820;0,2;480;77;33;4,6;11;0,04;590;31
01.247;Norvegia, gulost, fyldig;0,12;0,12;286;271;176;0;0,8;0,07;0,31;0,3;0,03;24;2,2;0;730;0,2;480;70;30;4,1;10;0,04;550;41
01.245;Norvegia, gulost, vellagret;0,11;0,11;127;113;164;0;0,5;0,08;0,29;0,4;0,03;40;2,3;0;780;0,2;480;74;31;4,3;10;0,04;570;29
01.246;Norvegia, gulost, økologisk;0,14;0,14;257;244;159;0;0,7;0,08;0,3;0,4;0,03;41;2,4;0;800;0,2;480;76;32;4,4;10;0,04;580;30
01.043;Nøkkelost;0,11;0,11;257;244;159;0;0,7;0,08;0,3;0,4;0,03;40;2,4;0;800;0,2;600;76;32;4,4;10;0,04;580;30
01.200;Parmesan, ost;0,18;0,58;390;371;233;0,3;0,8;0,03;0,32;0,1;0,11;12;3,3;0;1025;0,8;660;152;41;5,1;12;0,84;680;72
01.219;Pizzaost, revet;0,08;0,08;277;265;148;0;0,6;0,08;0,38;0,5;0,03;35;2,5;0;900;0,2;440;82;36;4,9;12;0,05;650;45
01.046;Port Salut, kittmodnet ost;0,1;0,1;238;226;147;0;0,7;0,07;0,33;0,4;0,04;65;3,4;0;720;0,2;600;74;30;4;10;0,04;520;42
01.267;Raclette, ost;0,15;0,49;263;255;100;0,2;0,7;0,01;0,22;0,2;0,06;49;1,4;0;671;0,1;728;70;27;3,9;8;0,06;492;27
01.050;Sveitserost, gulost;0,11;0,11;259;246;160;0;0,7;0,07;0,27;0,4;0,03;26;2,3;0;790;0,2;520;79;35;4,5;12;0,04;600;36
01.161;Taffelost, tomat;0,1;0,1;165;148;198;0;0,5;0,02;0,22;0,1;0;0;0;0;660;0,4;1100;88;25;3,8;0;0,09;705;6
01.190;Ystet produkt med vegetabilsk fett;0,17;0,56;10;10;5;0;6,6;0,03;0,25;0,1;0,05;10;1,5;0;700;0,2;580;80;30;3,4;10;0;500;19
;;;;;;;;;;;;;;;;;;;;;;;;;
1.4.3;Ost, halvfet, mager;;;;;;;;;;;;;;;;;;;;;;;;
01.063;Baconost, smørbar;0,07;0,07;175;160;184;0,1;0;0,05;0,2;0,3;0,16;12;0,5;0;376;0,3;940;60;15;3;6;0,05;900;18
01.028;Cottage Cheese;0,02;0,02;18;16;25;0;0;0,05;0,2;0,1;0;12;0,6;0;80;0;160;82;9;0,6;4;0,02;165;15
01.054;Fløtemysost, brunost, lett;0,06;0,06;155;147;96;0;0,4;0,19;1,05;0;0;39;1,5;0;553;0,7;360;1452;87;1;8;0,01;565;154
01.032;Gamalost;0;0;10;9;6;0;0;0,05;0,75;2,5;0,08;22;0,8;0;150;0,3;20;98;13;2,8;20;0,09;530;44
01.058;Gomme, Namdal;0,05;0,05;114;108;70;0;0,3;0,19;0,73;0;0;43;1,1;0;398;0,5;250;1007;61;0,8;10;0,01;402;107
01.072;Gudbrandsdalsost, brunost, lett;0,06;0,06;146;140;66;0;0,4;0,16;1,09;0;0;39;1,5;0;594;0,8;360;1519;92;1;13;0,02;605;189
01.071;Jarlsberg, gulost, lett;0,06;0,06;152;144;94;0;0,4;0,08;0,44;0,5;0,02;25;2,4;0;910;0,2;400;80;37;5;13;0,05;670;17
